Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,2 - High,PLAT-21374,22429024,"SE processing exception handling fails due to ""Illegal attempt to associate a collection with two open sessions""  Hibernate exception",EBaggott,MvanLaere1,New,,,,,,,,,,,,,,,,,,,,,,,7.0.,7.1.,7.2.,7.3,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.1.1.14,27/06/2017 14:22,
Defect,2 - High,PLAT-21376,22429045,CLONE - Audit - Configuration screen takes 2 min or fails and corrupt Audit flag when updating Permissions,Pnolan,thierryfortin,New,,,,,,,,,,,,,,,,,,,,,,,7.1.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.1.1.10,27/06/2017 15:46,
Defect,2 - High,PLAT-21381,22429147,CLONE - Missing account transfomers for tag 5X,yeankaitan,yeankaitan,Resolved,7.4,,,,,,,,,,,,,,,,,,,,,,7.1.1,7.2.,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2,28/06/2017 15:22,Fixed
Defect,2 - High,PLAT-21479,22431997,Application Triggers implementation affecting WLM Config import process performance,MAFayyaz,MAFayyaz,Resolved,7.6,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.4,31/07/2017 15:25,Fixed
Defect,2 - High,PLAT-21539,22433459,CLONE - Few terms are not matching and alerts are not generating to the required team,AManayangath,ASomani,Assigned,,,,,,,,,,,,,,,,,,,,,,,6.7.0,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,6.7.0.14,22/08/2017 02:32,
Defect,2 - High,PLAT-21553,22433741,CLONE - Transformation error in uploading a file,EFitzgerald,ilynroseabletes,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Other,,,,,7.2.1.49,25/08/2017 08:10,
Defect,2 - High,PLAT-21561,22433825,Workflow Configuration Import Issue,Pnolan,JCamacho,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Workflow Configurator,,,,,7.2.1.53,28/08/2017 10:32,
Defect,2 - High,PLAT-21564,22433862,Can't print a Case report,smielcarek,SHanley,Need More Info,7.6,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Other,,,,,4.6,28/08/2017 15:55,
Defect,2 - High,PLAT-21565,22433937,CLONE - Reporting mechanism doesn't scale well due to poor memory management and no usage of stream buffers,vimisachin,brentfisher,New,7.5,,,,,,,,,,,,,,,,,,,,,,6.5.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,6.5.1,29/08/2017 13:00,
Defect,2 - High,PLAT-21574,22433964,CLONE - EIM screen history issue,,jankonupek,Closed,7.5,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.2.1,29/08/2017 16:44,Fixed
Defect,2 - High,PLAT-21593,22434385,CLONE - Structure de la liste worldcheck modifiée,AManayangath,TRomano,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.3.1,04/09/2017 14:40,
Defect,2 - High,PLAT-21648,22435547,User name printed in norkom log,,IKCooper,Closed,7.6,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.2.0.14,18/09/2017 17:42,Fixed
Defect,2 - High,PLAT-21666,22435688,CLONE - [RNL-296] Narrativewithoptions transformer does not extract the narrative text correctly,JGutierrezRuiz,JGutierrezRuiz,Under Analysis,,,,,,,,,,,,,,,,,,,,,,,7.1.1,,,,,,,,,,,,,,,,,,,,,,CDD,,,,,7.1.1.8,20/09/2017 12:20,
Defect,2 - High,PLAT-21723,22436646,EIM Application Import Issue,Pnolan,laurencegriffiths,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.2.1.0,03/10/2017 11:33,
Defect,2 - High,PLAT-21729,22436664,CLONE - Profile rebuild does not support schedule variables,EBaggott,emersonsena,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,7.3,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.3.1.5,03/10/2017 14:48,
Defect,2 - High,PLAT-21886,22439142,Clone-RT - Timeout for screening of customer,AManayangath,MJoyce,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,KYC Drop2,,,,,7.2.1.53,01/11/2017 06:38,
Defect,2 - High,PLAT-21888,22439173,CLONE - Interactive List Pagination: New pages are added after last page,CFinnegan,peterjoos,New,7.2.,7.3,7.4,,,,,,,,,,,,,,,,,,,,7.2.,7.3,7.4,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.2.1.15,01/11/2017 10:45,
Defect,2 - High,PLAT-21898,22439541,CLONE - CDD_CustomerUpdateRisk - Error if Customer has entries in CDD_CUSTOMER_SCORE for multiple OrgUnits,EBaggott,HGough,New,,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,CDD,,,,,7.3.1.6 Core Build Date 2017-06-16,07/11/2017 09:38,
Defect,2 - High,PLAT-21932,22440097,CLONE - PROD: User unable to login. Error concurrent sessions maxed although user previously has logged out properly.,Pnolan,vamsikovuru,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.2.1.49,10/11/2017 08:48,
